year;ies_sigle;fact_student_aggregated_matriculation_total
2021;SINGULARIDADES;487
2021;LEGALE;196
2021;HOTEC;265
2021;ANHANGUERA;9162
2021;FDDJ;1268
2021;UNIFIAM FAAM;4899
2021;VERA CRUZ;68
2021;FACULDADE UNIÃO;0
2021;FAPCOM;837
2021;FCMSCSP;1411
2021;UNICID;21918
2021;FAZP;839
2021;FAETEL;176
2021;FASM;2661
2021;UNISANT'ANNA;1523
2021;UNIB;1376
2021;FAAP;2699
2021;UAM;28145
2021;FTBSP;109
2021;FTMP;12
2021;MUNDIAL;444
2021;FAMESP;649
2021;SENAC;4108
2021;ESEG;286
2021;ESAMC;214
2021;FAATESP;22
2021;FPD;260
2021;MESSIÂNICA;5
2021;ESCH;197
2021;EDUCAMAIS;336
2021;UMC;1298
2021;FATIPI;29
2021;FIP;1
2021;FIT;2478
2021;BANDTEC;659
2021;ITESP;111
2021;ESNS;86
2021;IED SP;247
2021;FMSL;99
2021;SAINT PAUL;56
2021;FINACI;613
2021;IMESP;119
2021;SEQÜENCIAL;668
2021;PUCSP;10373
2021;DIEESE;61
2021;DOURADO;34
2021;FIPECAFI;127
2021;CULTURA INGLESA;105
2021;MELIES;185
2021;CSEJCDA;338
2021;FECS;267
2021;FAEP/FACITEP;598
2021;IDP;20
2021;SESI;242
2021;PSCHOAL DANTAS;63
2021;FEDUC;84
2021;EBRAMEC;26
2021;ESPM;4551
2021;FTC;126
2021;FAOA;51
2021;FPCS;75
2021;ANCLIVEPA;380
2021;FVG;207
2021;IBECO;5
2021;FRS;83
2021;IGESP;203
2021;SEBRAE;67
2020;---;533
2021;PHORTE;15
2021;SÃO CAMILO;4741
2021;ALBERT EINSTEN;1000
2021;ESTÁCIO;5171
2021;FIAP;2731
2021;FACEAS;842
2021;FACEPD;364
2021;UNISAL;101
2021;FCE;127
2021;INSPER;2976
2021;CANTAREIRA;157
